# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2020-Nov-02 00:12:04 PST
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	7	-29700.371429	8.720611
2	7	-28435.457143	15.431446
3	7	-30225.771429	3600.304462
4	7	-28044.400000	188.586806
5	7	-27925.085714	186.215103
6	7	-31197.385714	4015.364723
7	7	-29443.271429	4038.791849
8	7	-40654.628571	15666.085869
9	7	-30082.671429	4970.937378
10	7	-29297.285714	1016.826067

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
Resultsjames_run_7_f	7	1	-29693.3	-29448.2	490.1
Resultsjames_run_4_f	4	1	-29691.4	-29448.5	485.8
Resultsjames_run_6_f	6	1	-29703.2	-29448.9	508.5
Resultsjames_run_3_f	3	1	-29693.2	-29449.2	488.1
Resultsjames_run_2_f	2	1	-29698.0	-29449.8	496.4
Resultsjames_run_1_f	1	1	-29712.7	-29449.0	527.3
Resultsjames_run_5_f	5	1	-29710.8	-29450.1	521.3
Resultsjames_run_12_f	12	2	-28452.0	-27933.1	1037.7
Resultsjames_run_14_f	14	2	-28431.6	-27935.8	991.5
Resultsjames_run_13_f	13	2	-28428.5	-27934.6	987.8
Resultsjames_run_11_f	11	2	-28416.3	-27932.9	966.8
Resultsjames_run_10_f	10	2	-28449.7	-27944.4	1010.6
Resultsjames_run_8_f	8	2	-28418.9	-27934.7	968.5
Resultsjames_run_9_f	9	2	-28451.2	-27943.1	1016.2
Resultsjames_run_17_f	17	3	-28435.9	-27624.0	1623.8
Resultsjames_run_15_f	15	3	-28445.6	-27618.1	1655.0
Resultsjames_run_18_f	18	3	-28435.2	-27635.3	1599.7
Resultsjames_run_16_f	16	3	-28482.6	-27629.6	1705.9
